2022/09/06-00:55:04 - ML.py - run_animation_ca - DEBUG - Initial:
_____________________________________________________________________
|   Car    |   Lane   |   Position   |   Velocity   |   Max Speed   |
‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾‾
_____________________________________________________________________
|     1    |      1   |   0.000000   |   0.000000   |   2.0000000   |
|     2    |      2   |   0.000000   |   0.000000   |   2.0000000   |
|     3    |      3   |   0.000000   |   0.000000   |   2.0000000   |
|     4    |      1   |   1.000000   |   0.000000   |   2.0000000   |
|     5    |      2   |   1.000000   |   0.000000   |   2.0000000   |
|     6    |      3   |   1.000000   |   0.000000   |   2.0000000   |
|     7    |      1   |   2.000000   |   0.000000   |   2.0000000   |
|     8    |      2   |   2.000000   |   0.000000   |   2.0000000   |
|     9    |      3   |   2.000000   |   0.000000   |   2.0000000   |
|    10    |      1   |   3.000000   |   0.000000   |   2.0000000   |
|    11    |      2   |   3.000000   |   0.000000   |   2.0000000   |
|    12    |      3   |   3.000000   |   0.000000   |   2.0000000   |
|    13    |      1   |   4.000000   |   0.000000   |   2.0000000   |
|    14    |      2   |   4.000000   |   0.000000   |   2.0000000   |
|    15    |      3   |   4.000000   |   0.000000   |   2.0000000   |
|    16    |      1   |   5.000000   |   0.000000   |   2.0000000   |
|    17    |      2   |   5.000000   |   0.000000   |   2.0000000   |
|    18    |      3   |   5.000000   |   0.000000   |   2.0000000   |
|    19    |      1   |   6.000000   |   0.000000   |   2.0000000   |
|    20    |      2   |   6.000000   |   0.000000   |   2.0000000   |
|    21    |      3   |   6.000000   |   0.000000   |   2.0000000   |
|    22    |      1   |   7.000000   |   0.000000   |   2.0000000   |
|    23    |      2   |   7.000000   |   0.000000   |   2.0000000   |
|    24    |      3   |   7.000000   |   0.000000   |   2.0000000   |
|    25    |      1   |   8.000000   |   0.000000   |   2.0000000   |
|    26    |      2   |   8.000000   |   0.000000   |   2.0000000   |
|    27    |      3   |   8.000000   |   0.000000   |   2.0000000   |
|    28    |      1   |   9.000000   |   0.000000   |   2.0000000   |
|    29    |      2   |   9.000000   |   0.000000   |   2.0000000   |
|    30    |      3   |   9.000000   |   0.000000   |   2.0000000   |
|    31    |      1   |   10.00000   |   0.000000   |   2.0000000   |
|    32    |      2   |   10.00000   |   0.000000   |   2.0000000   |
|    33    |      3   |   10.00000   |   0.000000   |   2.0000000   |
|    34    |      1   |   11.00000   |   0.000000   |   2.0000000   |
|    35    |      2   |   11.00000   |   0.000000   |   2.0000000   |
|    36    |      3   |   11.00000   |   0.000000   |   2.0000000   |
|    37    |      1   |   12.00000   |   0.000000   |   2.0000000   |
|    38    |      2   |   12.00000   |   0.000000   |   2.0000000   |
|    39    |      3   |   12.00000   |   0.000000   |   2.0000000   |
|    40    |      1   |   13.00000   |   0.000000   |   2.0000000   |
|    41    |      2   |   13.00000   |   0.000000   |   2.0000000   |
|    42    |      3   |   13.00000   |   0.000000   |   2.0000000   |
|    43    |      1   |   14.00000   |   0.000000   |   2.0000000   |
